sampleId,frameCount,validFrameCount,deflectionMeanMm,deflectionP50Mm,deflectionP05Mm,deflectionP95Mm,deflectionStdMm,deflectionRangeMm,deflectionSlopeMmPerSec,driftMmPerMin,validRate,confidenceMean,qualityMean,weightG,standardDeflectionMm,phoneMinusStandardMm
sample_040_0g,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6,1.0,0.0,0.0,0.0
sample_039_50g,28,28,1.4450869492238243,1.4390686205964975,1.4019098855317442,1.4846599001672351,0.028910409357461867,0.0941897264669489,0.004368124483734958,0.26208746902409746,1.0,0.6,0.9625852161353189,50.0,0.9,0.5450869492238243
sample_038_100g,28,28,1.6780009992951803,1.6807636249938183,1.641785373211993,1.7058193288542585,0.020591870305620076,0.07859876633453289,-0.003024726959937567,-0.18148361759625403,1.0,0.6,0.9620281585625239,100.0,1.7,-0.021999000704819638
sample_037_200g,28,28,2.1378269595787747,2.137794846120136,2.0820958038277557,2.172721178057022,0.026993528221855297,0.11676818468406225,0.0021337937847664265,0.12802762708598558,1.0,0.6,0.9620957139480326,200.0,3.41,-1.2721730404212255
sample_053_300g,80,80,2.1157944706583303,2.1033373031270193,2.0716508318618856,2.2451699470960085,0.054076137579353305,0.2580744737068863,0.0018995462505730209,0.11397277503438125,1.0,0.5999999999999999,0.9701411229674705,300.0,1.25,0.8657944706583303
sample_036_300g,28,28,2.3714943515380495,2.3697239900990823,2.3420900876608255,2.4121030931613214,0.02010778822171413,0.08105228899053474,0.0006563114882264091,0.03937868929358455,1.0,0.6,0.9602437634553229,300.0,3.6,-1.2285056484619505
sample_052_350g,80,80,2.375622103583325,2.3698101855923666,2.344044101719397,2.4138866948072186,0.02114453194436177,0.07973546054157499,-0.0017474516718207717,-0.1048471003092463,1.0,0.5999999999999999,0.9702664387272669,350.0,1.38,0.995622103583325
sample_051_421.5g,80,80,5.784974205474983,5.781073857532908,5.74215697109646,5.824527916710885,0.025509829471026344,0.13378353462257753,-0.000899338699294262,-0.05396032195765572,1.0,0.5999999999999999,0.8955808672332204,421.5,3.91,1.8749742054749827
sample_035_499.8g,28,28,3.1241679586231728,3.121989496983131,3.084194201627093,3.1795138705051786,0.03223526912776343,0.0992827465556183,-0.00024024329011141488,-0.014414597406684894,1.0,0.6,0.9594925959727592,499.8,4.71,-1.5858320413768272
sample_050_642.1g,80,80,6.081352595433855,6.079468442478564,6.042305733418758,6.151348368643696,0.03399594993118533,0.11628205668655411,-0.002107995943364065,-0.1264797566018439,1.0,0.5999999999999999,0.896071583176963,642.1,4.48,1.6013525954338546
